method,dataset,auroc,f1,fpr_at_95_tpr,threshold,latency_ms_avg,latency_ms_std,memory_overhead_mb_avg,num_samples,protocol
refusal_direction,iid_test,0.5291832229580574,0.8010610079575596,1.0,-1.0000001192092896,4.893074989318848,3.538892984390259,0.0,226,standard
refusal_direction,ood_jailbreakbench,0.6137037037037038,0.6605504587155964,0.9866666666666667,-1.0000001192092896,6.975743770599365,4.195436954498291,0.0,147,train_on_advbench_only
trajguard,iid_test,0.36569536423841065,0.8010610079575596,0.9466666666666667,-2.3332672870295634e-08,56.101173400878906,25.140657424926758,0.0,226,standard
trajguard,ood_jailbreakbench,0.22962962962962966,0.6575342465753424,0.9466666666666667,-2.3332672870295634e-08,53.682861328125,31.354949951171875,0.0,147,train_on_advbench_only
jlt,iid_test,0.6138631346578367,0.8010610079575596,0.8666666666666667,0.011618013493716717,4.142373085021973,2.9634549617767334,0.0,226,standard
jlt,ood_jailbreakbench,0.7116666666666667,0.6451612903225806,0.8666666666666667,0.0713392049074173,5.322731018066406,3.515050172805786,0.0,147,train_on_advbench_only
jbshield,iid_test,0.54560706401766,0.8010610079575596,0.9333333333333333,0.399518221616745,4.557994365692139,3.11326265335083,0.0,226,standard
jbshield,ood_jailbreakbench,0.6777777777777777,0.6575342465753424,0.9333333333333333,0.48949524760246277,5.607114791870117,3.7219157218933105,0.0,147,train_on_advbench_only
