method,dataset,auroc,f1,fpr_at_95_tpr,threshold,latency_ms_avg,latency_ms_std,memory_overhead_mb_avg,num_samples,protocol
refusal_direction,iid_test,0.7738095238095238,0.8235294117647058,0.6666666666666666,-0.9944510459899902,2.205504894256592,0.8619233965873718,0.2925781309604645,20,standard
refusal_direction,ood_jailbreakbench,0.41666666666666663,0.5,0.8333333333333334,0.2490379959344864,2.7666397094726562,0.9952608346939087,0.16328124701976776,10,train_on_advbench_only
trajguard,iid_test,0.3333333333333333,0.8235294117647058,1.0,0.0,60.74163818359375,12.678909301757812,1.3439452648162842,20,standard
trajguard,ood_jailbreakbench,0.29166666666666663,0.5714285714285714,0.8333333333333334,0.11982899904251099,67.37321472167969,15.315217971801758,3.1343750953674316,10,train_on_advbench_only
jlt,iid_test,0.4761904761904762,0.8235294117647058,0.6666666666666666,0.7598162763681843,2.1714398860931396,0.742992103099823,0.0064453124068677425,20,standard
jlt,ood_jailbreakbench,0.5,0.5714285714285714,0.6666666666666666,0.756989204703863,2.4200000762939453,0.679506778717041,0.009765625,10,train_on_advbench_only
jbshield,iid_test,0.7380952380952381,0.8235294117647058,0.8333333333333334,0.549863874912262,2.2572197914123535,0.9694215655326843,0.2874999940395355,20,standard
jbshield,ood_jailbreakbench,0.12499999999999997,0.46153846153846156,1.0,0.356967955827713,2.9348998069763184,0.9292967319488525,0.02500000037252903,10,train_on_advbench_only
